state,year,treated_group,post,policy_active,median_income,unemployment_rate,employment_rate
S01,2016,1,0,0,50236.47,5.937,56.305
S01,2017,1,0,0,49744.11,5.645,57.372
S01,2018,1,0,0,53825.54,6.003,57.607
S01,2019,1,0,0,53227.58,5.693,58.829
S01,2020,1,1,1,53414.12,5.785,56.625
S01,2021,1,1,1,53919.39,5.508,56.602
S01,2022,1,1,1,54953.96,5.427,56.213
S01,2023,1,1,1,55018.93,5.163,58.404
S02,2016,1,0,0,57442.99,6.333,54.883
S02,2017,1,0,0,60261.35,6.552,55.461
S02,2018,1,0,0,60004.91,5.888,56.908
S02,2019,1,0,0,61935.17,5.588,58.008
S02,2020,1,1,1,61120.4,5.799,55.831
S02,2021,1,1,1,63136.58,5.884,55.618
S02,2022,1,1,1,63547.39,6.055,55.475
S02,2023,1,1,1,63842.5,5.466,56.626
S03,2016,1,0,0,52735.37,6.059,57.385
S03,2017,1,0,0,52299.38,6.972,56.461
S03,2018,1,0,0,52458.14,6.092,57.638
S03,2019,1,0,0,52776.41,6.076,56.796
S03,2020,1,1,1,54314.74,6.204,56.144
S03,2021,1,1,1,54267.72,6.059,57.396
S03,2022,1,1,1,55942.22,6.207,57.109
S03,2023,1,1,1,57174.5,6.499,57.009
S04,2016,1,0,0,51945.07,6.595,55.428
S04,2017,1,0,0,51680.27,6.771,56.808
S04,2018,1,0,0,53901.76,6.006,57.866
S04,2019,1,0,0,54898.19,5.698,57.496
S04,2020,1,1,1,54199.1,5.637,55.183
S04,2021,1,1,1,57760.94,5.473,56.033
S04,2022,1,1,1,57136.61,5.253,56.781
S04,2023,1,1,1,57752.49,5.438,56.93
S05,2016,1,0,0,55953.2,5.49,57.922
S05,2017,1,0,0,55645.75,5.77,57.013
S05,2018,1,0,0,56474.52,5.748,58.281
S05,2019,1,0,0,56872.14,5.715,57.898
S05,2020,1,1,1,59132.19,5.752,56.867
S05,2021,1,1,1,59494.44,4.822,57.993
S05,2022,1,1,1,60671.73,5.024,58.503
S05,2023,1,1,1,60392.85,4.781,58.517
S06,2016,1,0,0,55292.32,5.654,56.025
S06,2017,1,0,0,54901.46,5.797,56.484
S06,2018,1,0,0,55764.07,5.644,56.93
S06,2019,1,0,0,56993.33,5.566,58.135
S06,2020,1,1,1,58689.34,5.377,56.752
S06,2021,1,1,1,57984.12,5.363,55.445
S06,2022,1,1,1,59294.59,4.364,57.031
S06,2023,1,1,1,61256.06,4.826,57.256
S07,2016,0,0,0,55255.94,6.877,54.676
S07,2017,0,0,0,54603.52,6.621,53.883
S07,2018,0,0,0,54623.86,6.774,54.788
S07,2019,0,0,0,55435.48,5.74,55.872
S07,2020,0,1,0,55901.5,6.067,55.96
S07,2021,0,1,0,57804.16,5.686,56.246
S07,2022,0,1,0,58300.59,6.163,57.253
S07,2023,0,1,0,58861.89,5.646,57.928
S08,2016,0,0,0,49439.0,6.018,54.913
S08,2017,0,0,0,50308.01,5.674,56.142
S08,2018,0,0,0,50708.1,5.322,56.726
S08,2019,0,0,0,51883.84,5.448,56.9
S08,2020,0,1,0,51431.39,5.323,57.227
S08,2021,0,1,0,52950.37,5.129,57.803
S08,2022,0,1,0,56464.11,5.631,56.359
S08,2023,0,1,0,53724.39,5.043,58.24
S09,2016,0,0,0,44601.54,5.677,57.609
S09,2017,0,0,0,46654.87,5.756,56.544
S09,2018,0,0,0,47279.75,3.994,59.484
S09,2019,0,0,0,49198.67,5.004,59.107
S09,2020,0,1,0,48432.34,5.458,58.858
S09,2021,0,1,0,48503.38,4.785,58.962
S09,2022,0,1,0,52694.0,5.381,60.122
S09,2023,0,1,0,51610.89,5.134,59.653
S10,2016,0,0,0,51469.04,6.606,57.427
S10,2017,0,0,0,51936.13,7.065,57.229
S10,2018,0,0,0,53453.18,6.569,59.278
S10,2019,0,0,0,53634.76,6.877,58.043
S10,2020,0,1,0,54366.41,6.071,60.509
S10,2021,0,1,0,55320.55,6.405,60.875
S10,2022,0,1,0,57255.75,5.931,60.835
S10,2023,0,1,0,56041.66,6.77,60.332
S11,2016,0,0,0,50034.27,6.7,54.809
S11,2017,0,0,0,49742.75,6.835,55.112
S11,2018,0,0,0,52621.6,6.551,56.18
S11,2019,0,0,0,52104.8,6.331,56.455
S11,2020,0,1,0,51984.08,6.41,56.757
S11,2021,0,1,0,53900.67,6.527,57.061
S11,2022,0,1,0,54626.52,5.879,58.189
S11,2023,0,1,0,56113.85,6.217,57.634
S12,2016,0,0,0,49619.32,6.738,54.743
S12,2017,0,0,0,50065.91,6.987,54.471
S12,2018,0,0,0,51353.78,5.895,54.943
S12,2019,0,0,0,52934.56,6.135,55.99
S12,2020,0,1,0,52491.43,5.671,56.5
S12,2021,0,1,0,52884.7,7.13,55.412
S12,2022,0,1,0,52594.05,6.633,56.99
S12,2023,0,1,0,54618.55,6.485,57.346
